ZIPCODE,NUM_RETURNS,MEAN_AGI
00000,2116220,75055.3472701326
01001,8940,73731.54362416107
01002,9850,103502.0304568528
01005,2500,75963.2
01007,8070,90242.50309789344
01008,650,78700.0
01010,1950,92614.8717948718
01011,590,68349.15254237287
01012,390,77838.46153846153
01013,10880,50350.55147058824
01020,15280,58571.66230366492
01022,1180,52926.27118644068
01026,500,76660.0
01027,9830,78311.19023397761
01028,8500,109658.94117647059
01030,6130,81905.70962479609
01031,560,58416.07142857143
01032,270,76637.03703703704
01033,3290,86475.07598784195
01034,1030,87814.56310679612
01035,2800,94159.28571428571
01036,2680,98664.17910447762
01038,1370,94645.98540145985
01039,770,93084.41558441559
01040,16820,54457.19381688466
01050,1240,71430.64516129032
01053,930,98304.30107526881
01054,980,107037.75510204081
01056,10640,76940.78947368421
01057,4350,80903.908045977
01060,7430,92468.37146702557
01062,5760,103057.46527777778
01068,1020,83102.94117647059
01069,4180,70699.28229665072
01070,300,65863.33333333333
01071,790,87860.75949367089
01072,770,86266.23376623377
01073,3370,99643.62017804154
01075,8550,87853.09941520468
01077,5120,95549.609375
01080,1190,54303.361344537814
01081,910,66868.13186813187
01082,5290,64479.58412098299
01085,19600,78269.69387755102
01088,340,70614.70588235294
01089,14310,75180.642907058
01095,7560,116508.99470899471
01096,1370,83936.49635036496
01098,600,78281.66666666667
01103,1090,47573.394495412846
01104,10910,43521.631530705774
01105,4030,31365.01240694789
01106,7810,197530.0896286812
01107,4030,39985.85607940447
01108,12020,44607.321131447585
01109,12480,40462.33974358974
01118,7820,61510.86956521739
01119,6360,53482.38993710692
01128,1500,66197.33333333333
01129,3900,59546.41025641026
01151,4090,43333.74083129584
01201,22190,67068.67958539883
01220,4280,57175.700934579436
01222,420,70740.47619047618
01223,1230,83046.34146341463
01225,1690,80291.71597633135
01226,3300,79173.33333333333
01230,3910,132848.08184143223
01235,1520,76592.1052631579
01236,850,79627.05882352941
01237,1780,85504.49438202247
01238,3030,83093.06930693069
01240,2430,148658.43621399178
01245,400,157695.0
01247,6700,54361.94029850746
01253,490,90442.85714285714
01254,590,144754.2372881356
01255,360,84213.88888888889
01256,360,70447.22222222222
01257,1230,118773.17073170732
01258,400,136382.5
01259,260,101707.69230769231
01266,730,147405.4794520548
01267,3010,121364.78405315615
01270,390,89230.76923076923
01301,8670,63470.35755478662
01330,830,76519.27710843373
01331,6690,61859.94020926757
01337,1410,77659.5744680851
01338,120,76208.33333333333
01339,680,81061.76470588235
01340,890,68022.47191011236
01341,850,117109.41176470589
01342,690,110607.2463768116
01344,820,60601.21951219512
01346,190,68073.68421052632
01349,420,59259.52380952381
01351,1270,75333.85826771654
01354,820,74430.48780487805
01355,490,73704.08163265306
01360,1600,73785.0
01364,3680,57135.05434782609
01366,630,103190.47619047618
01367,260,62146.153846153844
01368,630,73815.87301587302
01370,2030,73453.20197044335
01373,2540,90948.4251968504
01375,1830,73763.38797814208
01376,2580,55274.41860465116
01378,370,67554.05405405405
01379,430,58827.90697674418
01420,20090,57539.97013439522
01430,3230,89002.16718266254
01431,1640,86471.9512195122
01432,4400,95899.77272727272
01434,300,102943.33333333333
01436,1530,67954.90196078431
01440,9970,60529.488465396185
01450,5570,186831.77737881508
01451,2670,235711.23595505618
01452,2320,89638.79310344828
01453,22790,72534.00614304519
01460,5200,152399.8076923077
01462,6120,103843.95424836602
01463,6130,103443.71941272431
01464,3190,91546.08150470219
01468,2420,79227.68595041323
01469,3620,87753.31491712708
01473,4390,105254.21412300684
01474,1070,91124.29906542056
01475,4880,65744.26229508196
01501,9050,86128.28729281768
01503,1980,125670.70707070707
01504,4840,81086.77685950413
01505,2660,159922.55639097744
01506,1730,75816.18497109826
01507,6800,96917.79411764706
01510,8310,71630.9265944645
01515,1190,79523.5294117647
01516,4820,96818.87966804979
01518,1600,121407.5
01519,3730,163373.72654155496
01520,8280,116910.86956521739
01521,1320,81296.9696969697
01522,1850,103624.86486486487
01523,3260,118199.07975460123
01524,3560,82666.01123595505
01527,7590,88396.04743083003
01529,1660,82178.9156626506
01531,510,82688.23529411765
01532,8020,153631.42144638405
01534,3210,105197.19626168224
01535,2490,75241.3654618474
01536,3810,131396.58792650918
01537,1290,74524.03100775194
01540,5840,77892.12328767123
01541,1880,141557.44680851063
01542,1250,78186.4
01543,4820,98067.63485477178
01545,19060,154785.20461699896
01550,8610,55206.620209059234
01560,2350,108337.02127659574
01562,6130,73514.02936378466
01564,4360,124738.53211009175
01566,3600,106624.16666666667
01568,4210,141662.94536817103
01569,7550,95390.59602649006
01570,9360,69808.11965811966
01571,5970,76153.6013400335
01581,10180,152703.63457760314
01583,3920,98170.66326530612
01585,2290,80386.46288209606
01588,5360,85827.23880597015
01590,4880,132691.59836065574
01602,11640,76438.14432989691
01603,10080,52155.456349206346
01604,18870,60253.78908320085
01605,12520,57076.277955271566
01606,11250,71748.44444444444
01607,4390,53902.961275626425
01608,2160,56650.92592592593
01609,7810,95999.61587708067
01610,9220,40511.7136659436
01611,1210,66027.27272727272
01612,2470,109382.18623481781
01701,17220,126721.83507549361
01702,16860,71026.09727164888
01718,320,134125.0
01719,2800,173967.85714285713
01720,11050,195034.57013574662
01721,9500,134172.52631578947
01730,7050,195724.96453900708
01731,730,80909.5890410959
01740,2730,204423.07692307694
01741,2560,336386.71875
01742,8860,347647.85553047404
01745,240,146754.16666666666
01746,7460,152946.91689008044
01747,3090,102310.67961165048
01748,8810,229624.63110102157
01749,10860,97117.31123388582
01752,21180,90575.92067988668
01754,5800,103393.96551724138
01756,3260,146057.66871165644
01757,15210,86050.69033530571
01760,18280,163201.47702407002
01770,2110,426307.58293838863
01772,5000,294672.2
01773,2900,432886.8965517241
01775,3680,199212.5
01776,8950,275008.2681564246
01778,6860,318349.416909621
01801,22790,99793.85695480474
01803,13640,130886.5835777126
01810,17290,222831.34759976866
01821,16920,98291.78486997636
01824,14110,135948.68887313962
01826,17570,84285.25896414343
01827,1720,147761.0465116279
01830,13870,71450.46863734678
01832,13280,69617.31927710843
01833,4360,130414.67889908257
01834,3550,106750.14084507042
01835,8060,81728.90818858561
01840,3670,40969.48228882834
01841,26640,38122.93543543544
01843,15120,47616.93121693122
01844,28790,74833.1712400139
01845,15210,163885.86456278764
01850,7940,52912.59445843829
01851,16390,59904.148871262965
01852,18010,64186.95169350361
01854,11940,57260.21775544389
01860,3690,100292.14092140921
01862,5870,97541.73764906303
01863,5020,94872.11155378487
01864,8240,175498.5436893204
01867,13150,171255.5133079848
01876,16560,105134.23913043478
01879,6740,105219.2878338279
01880,14410,122853.99028452464
01886,12410,167149.1539081386
01887,12280,118250.81433224755
01890,10690,336511.50608044903
01901,1500,54456.0
01902,23390,49795.46814878153
01904,11180,73167.9785330948
01905,13760,53083.648255813954
01906,15850,85932.87066246057
01907,7650,178970.45751633987
01908,1910,151002.61780104713
01913,9080,98879.40528634361
01915,20580,135538.33819241982
01921,3890,293135.7326478149
01922,1690,148728.4023668639
01923,15080,110481.96286472148
01929,1900,152737.8947368421
01930,15750,107683.30158730158
01938,7570,147774.9009247028
01940,6690,220519.73094170404
01944,2720,419812.5
01945,10610,234391.51743638076
01949,4640,175036.2068965517
01950,9950,181002.51256281408
01951,2000,181683.0
01952,5020,90391.23505976096
01960,28740,84296.86847599165
01966,3900,159598.46153846153
01969,3300,144572.72727272726
01970,23510,84281.96512122502
01982,3530,227858.35694050993
01983,3120,227191.66666666666
01984,1910,296011.51832460734
01985,2360,180560.59322033898
02019,9320,89419.74248927039
02021,12420,159777.77777777778
02025,4030,336122.08436724567
02026,13400,148013.28358208956
02030,2870,606116.3763066202
02032,2460,142915.8536585366
02035,9780,133103.98773006134
02038,17010,132489.18283362727
02043,11900,309699.91596638656
02045,5660,119546.28975265018
02048,12410,122266.63980660758
02050,12850,126634.47470817121
02052,6220,255601.12540192925
02053,6890,137158.78084179971
02054,4860,129131.89300411522
02056,5120,177770.703125
02061,5420,237761.0701107011
02062,16240,111361.45320197045
02066,9630,203677.05088265837
02067,8660,195992.9561200924
02071,480,144791.66666666666
02072,15550,83038.58520900321
02081,10580,145993.1001890359
02090,7930,288964.56494325347
02093,6370,153990.26687598115
02108,2480,868895.1612903225
02109,2630,452173.38403041824
02110,2390,783021.338912134
02111,3700,261482.7027027027
02113,4270,108725.99531615926
02114,8760,199520.3196347032
02115,7190,213343.39360222532
02116,10540,569028.0834914611
02118,14770,210006.2288422478
02119,13130,52108.75856816451
02120,5240,49165.83969465649
02121,13050,43499.08045977011
02122,12360,69144.82200647249
02124,24930,62759.72723626153
02125,17340,71920.01153402537
02126,11660,52224.44253859348
02127,21930,137832.19334245325
02128,23060,72378.57762359064
02129,9750,190158.46153846153
02130,20220,126394.4609297725
02131,15930,88178.46829880729
02132,14600,131854.5890410959
02134,10340,63393.1334622824
02135,23650,75742.53699788584
02136,18180,65478.60286028603
02138,14470,280510.71181755356
02139,18550,126602.47978436657
02140,11070,146709.75609756098
02141,8000,126805.625
02142,2480,197829.43548387097
02143,14860,108476.04306864065
02144,13910,126301.72537742631
02145,15300,90574.37908496732
02148,33260,70686.53036680697
02149,23060,57134.908933217695
02150,19110,54478.28362114076
02151,30950,63044.911147011306
02152,9640,97155.91286307054
02155,31350,103864.88038277513
02163,460,115982.60869565218
02169,31580,84370.01266624445
02170,10700,75252.99065420561
02171,10890,100005.60146923784
02176,14780,146998.37618403247
02180,12810,113723.1850117096
02184,19880,106275.25150905433
02186,13300,221586.91729323307
02188,7930,86812.86254728878
02189,8000,81480.0
02190,10810,96552.7289546716
02191,4770,88931.86582809224
02199,850,515144.70588235295
02210,4530,352037.96909492277
02215,6350,110278.4251968504
02301,33010,52950.711905483186
02302,18470,55870.05955603682
02322,2600,94614.61538461539
02324,13120,97693.44512195123
02330,6000,85592.83333333333
02332,7410,248591.4979757085
02333,7610,89944.67805519054
02338,4200,86918.80952380953
02339,7670,145555.28031290745
02341,5770,94175.21663778163
02343,6010,78323.96006655574
02346,13100,80610.15267175573
02347,6380,108536.36363636363
02351,9170,89837.62268266085
02356,6470,165302.47295208657
02359,9340,110689.40042826552
02360,33010,104286.94335049985
02364,7270,113377.57909215956
02367,1540,113692.85714285714
02368,18440,68326.24728850325
02370,9510,76878.96950578339
02375,5820,112250.51546391753
02379,4090,99091.19804400978
02382,8230,78805.2247873633
02420,7170,352894.70013947
02421,8580,338978.55477855477
02445,10020,366529.7405189621
02446,14150,220658.1625441696
02451,9660,111397.10144927536
02452,6730,108532.9866270431
02453,14990,96967.84523015344
02458,6470,273234.31221020094
02459,8630,420751.10081112396
02460,4810,243103.5343035343
02461,3570,272996.6386554622
02462,710,191828.1690140845
02464,1590,164357.23270440253
02465,5960,452311.57718120806
02466,3550,197738.5915492958
02467,7860,411329.13486005086
02468,2630,531754.752851711
02472,19270,119479.2942397509
02474,14390,162736.7616400278
02476,8760,178692.69406392693
02478,12920,256494.58204334366
02481,7180,651180.2228412257
02482,4950,469171.31313131313
02492,9840,386357.825203252
02493,5210,920909.9808061421
02494,5180,228094.78764478763
02532,6570,89835.00761035008
02535,810,178628.3950617284
02536,11590,95989.38740293356
02537,3330,130820.72072072072
02538,2410,60455.60165975104
02539,3370,115009.79228486647
02540,4430,137032.73137697516
02542,120,53441.666666666664
02543,460,155902.1739130435
02554,7420,132448.65229110513
02556,2030,139669.95073891626
02559,1910,106655.49738219896
02562,1860,107594.62365591398
02563,5610,111341.35472370767
02568,4810,91972.34927234927
02571,5790,77341.45077720207
02576,2260,73135.3982300885
02601,9440,58286.54661016949
